Species,Mass (g),Call effort (s calling/ min),Latitude,Pond Name
SM,10.72,29.698,38.093,The L
SM,,25.916,38.093,The L
SM,9.61,27.914,38.155719,50 Cent
SM,,29.665,38.155719,50 Cent
SM,,28.697,38.155719,50 Cent
SM,,27.678,38.155719,50 Cent
SM,,26.875,38.155719,50 Cent
SM,,34.956,38.155719,50 Cent
SM,11.23,29.429,38.155719,50 Cent
SM,,28.075,38.155719,50 Cent
SM,,31.679,38.155719,50 Cent
SM,,22.154,38.155719,50 Cent
SM,9.22,28.698,38.155719,50 Cent
SM,,29.374,38.155719,50 Cent
SM,,24.385,38.155719,50 Cent
SB,22.26,24.368,39.469143,Jeff's Pond
SB,19.37,23.942,39.469143,Jeff's Pond
SB,15.83,21.816,39.446462,Windmill Central
SB,10.71,20.773,39.446462,Windmill Central
SB,,23.659,39.446462,Windmill Central
SB,,21.16,39.446462,Windmill Central
SB,,17.966,39.446462,Windmill Central
SB,10.38,25.364,39.446462,Windmill Central
SB,,19.231,39.446462,Windmill Central
SB,,21.056,39.446462,Windmill Central
SB,12.09,20.816,39.446462,Windmill Central
SB,13.37,22.077,39.446462,Windmill Central
SB,14.77,18.294,39.447223,Dork Pond
SB,,14.061,39.447223,Dork Pond
SB,14.1,21.348,39.447223,Dork Pond
SB,15.27,27.009,39.447223,Dork Pond
SB,15.32,24.064,39.952092,Shipoopi
SB,,21.319,39.952092,Shipoopi
SB,,21.616,39.952092,Shipoopi
SB,,23.97,39.952092,Shipoopi
SB,8.24,26.631,39.952526,Epic Adventure
SB,10.92,20.426,39.952526,Epic Adventure
SB,,19.143,39.952526,Epic Adventure
SB,13.95,28.987,39.952526,Epic Adventure
SB,,23.054,39.952526,Epic Adventure
SB,12.92,16.293,39.952526,Epic Adventure
SB,14.07,27.484,40.258491,Silo Train Sandwich
SB,12.93,25.526,40.258491,Silo Train Sandwich
SB,10.16,21.943,40.258491,Silo Train Sandwich
SB,,25.755,40.258491,Silo Train Sandwich
SB,15.34,25.441,40.258491,Silo Train Sandwich
SB,,26.727,40.258491,Silo Train Sandwich
SB,,26.948,40.258491,Silo Train Sandwich
SB,12.78,28.491,40.258491,Silo Train Sandwich
SB,,25.037,40.258491,Silo Train Sandwich
SB,12.47,25.05,40.258491,Silo Train Sandwich
SB,12.18,21.249,40.258491,Silo Train Sandwich
SB,13.84,23.732,40.258491,Silo Train Sandwich
SB,13.48,21.208,38.918023,Limited Time Offer
SB,15.24,26.355,38.918023,Limited Time Offer
SB,19.93,21.944,38.918023,Limited Time Offer
SB,,18.967,38.918023,Limited Time Offer
SM,8.31,21.484,37.675702,Flip pond
SM,,24.893,37.675702,Flip pond
SB,,19.236,37.675702,Flip pond
SM,,32.907,37.675702,Flip pond
SB,17.57,23.182,37.675702,Flip pond
SM,10.71,30.639,37.675702,Flip pond
SM,8.7,27.028,37.675702,Flip pond
SM,9.19,32.226,37.687311,House Pond
SM,14.14,31.937,37.687311,House Pond
SM,,34.758,37.687311,House Pond
SM,,16.664,37.680759,Saw Dust
SM,,30.328,37.680759,Saw Dust
SM,,30.13,37.680759,Saw Dust
SM,,29.973,37.680759,Saw Dust
SM,,32.059,37.680759,Saw Dust
SM,5.77,24.43,37.680759,Saw Dust
SM,,30.003,37.680759,Saw Dust
SM,,33.905,37.680759,Saw Dust
SM,,35.146,37.680759,Saw Dust
SM,13.72,33.229,37.66442,Overkill
SM,9.77,31.781,37.66442,Overkill
SM,9.49,32.306,37.66442,Overkill
SM,12.59,31.731,37.66442,Overkill
SM,8.2,32.42,37.66442,Overkill
SM,,31.785,37.66442,Overkill
SM,,32.115,37.66442,Overkill
SM,,30.137,37.66442,Overkill
SM,,26.357,37.66442,Overkill
SM,,34.33,37.66442,Overkill
SM,11.11,28.061,37.681621,Day Break
SB,18.27,28.528,37.681621,Day Break
SM,8.83,44.408,37.681621,Day Break
SM,5.77,26.947,37.681621,Day Break
SM,,29.676,37.681621,Day Break
SM,,28.938,37.820125,Canyon Lands
SM,,33.083,37.820125,Canyon Lands
SM,8.2,28.906,37.820125,Canyon Lands
SM,11.07,26.999,37.820125,Canyon Lands
SB,22.91,22.921,36.388307,Defiant Cow
SB,,23.595,36.388307,Defiant Cow
SB,,21.356,36.388307,Defiant Cow
SB,11.91,22.868,36.388307,Defiant Cow
SB,,20.899,36.388307,Defiant Cow
SB,,24.451,36.388307,Defiant Cow
SB,12.38,23.89,36.388307,Defiant Cow
SB,,21.612,36.388307,Defiant Cow
SB,11.95,21.162,36.388307,Defiant Cow
SB,17.66,21.383,36.388307,Defiant Cow
SB,9.43,18.446,36.388307,Defiant Cow
SB,9.34,19.83,36.388307,Defiant Cow
SB,,25.248,36.388307,Defiant Cow
SM,7.36,28.153,36.388307,Defiant Cow
SM,,32.648,32.893197,Alice in Couchiiland
SM,,26.754,32.893197,Alice in Couchiiland
SM,,28.747,32.893197,Alice in Couchiiland
SM,,26.463,32.893197,Alice in Couchiiland
SM,14.72,25.178,32.893197,Alice in Couchiiland
SM,,26.633,32.893197,Alice in Couchiiland
SM,,26.772,32.893197,Alice in Couchiiland
SM,,26.366,32.893197,Alice in Couchiiland
SM,,29.801,32.893197,Alice in Couchiiland
SM,,26.177,32.893197,Alice in Couchiiland
SB,,22.685,34.953648,Headache
SM,,24.117,34.953648,Headache
SM,,28.038,34.953648,Headache
SM,,32.22,34.953648,Headache
SM,,28.658,34.953648,Headache
SB,11.57,15.326,34.408872,Clapper
SM,,28.97,34.408872,Clapper
SM,,31.6,34.408872,Clapper
SM,,24.946,34.408872,Clapper
SB,19.8,25.05,34.408872,Clapper
SB,12.42,19.76,34.408872,Clapper
SB,,21.517,34.408872,Clapper
SB,15.87,17.388,34.408872,Clapper
SM,12.43,30.996,34.408872,Clapper
SB,18.42,29.481,34.408872,Clapper
SM,13.01,25.878,34.408872,Clapper
SM,10.08,27.742,34.408872,Clapper
SM,13.23,25.463,34.408872,Clapper
SM,,32.623,34.408872,Clapper
SM,,27.006,34.408872,Clapper
SM,14.16,30.106,34.408872,Clapper
SM,,26.278,34.408872,Clapper
SB,,22.493,34.400091,Planet x
SB,,24.887,34.400091,Planet x
SM,9.23,31.431,34.400091,Planet x
SM,,28.489,34.400091,Planet x
SM,,23.206,34.400091,Planet x
SM,,33.404,34.400091,Planet x
SM,,33.795,34.400091,Planet x
SB,17.35,23.442,34.400091,Planet x
SB,16.44,22.251,34.400091,Planet x
SB,21.65,24.772,33.045126,Harvest Moon
SB,17.63,23.947,33.045126,Harvest Moon
SB,,23.464,33.045126,Harvest Moon
SB,24.48,26.778,33.045126,Harvest Moon
SB,18.07,21.149,33.045126,Harvest Moon
SB,15.29,24.936,33.045126,Harvest Moon
SB,,24.254,33.045126,Harvest Moon
SB,18.24,26.814,33.045126,Harvest Moon
SB,19.09,26.419,33.045126,Harvest Moon
SB,11.13,26.509,33.045126,Harvest Moon
SB,22.26,27.159,33.045126,Harvest Moon
SB,14.21,13.8,32.085243,Cattle Guard
SB,14.64,11.607,32.085243,Cattle Guard
SB,14.03,9.781,32.085243,Cattle Guard
SB,14.33,15.768,32.085243,Cattle Guard
SB,,,32.085243,Cattle Guard
SB,,12.494,32.085243,Cattle Guard
SB,12.06,10.542,32.085243,Cattle Guard
SB,13.17,13.637,32.085243,Cattle Guard
SB,,11.752,32.117675,Heavy Truck Traffic
SB,16.76,13.2,32.117675,Heavy Truck Traffic
SB,,10.07,32.117675,Heavy Truck Traffic
SB,,13.118,32.117675,Heavy Truck Traffic
SB,16.57,10.308,32.117675,Heavy Truck Traffic
SB,16.13,14.731,32.117675,Heavy Truck Traffic
SB,13.34,13.31,32.117675,Heavy Truck Traffic
SB,21.6,13.869,32.117675,Heavy Truck Traffic
SB,17.41,11.113,32.117675,Heavy Truck Traffic
SB,13.89,9.704,32.117675,Heavy Truck Traffic
SB,13.68,10.465,32.117675,Heavy Truck Traffic
SB,19.71,13.708,32.117675,Heavy Truck Traffic
SB,16.57,13.329,32.117675,Heavy Truck Traffic
SB,,14.217,32.117675,Heavy Truck Traffic
SB,14.15,11.062,32.180151,Freak Out
SB,9.47,9.262,32.180151,Freak Out
SB,14.26,14.479,32.180151,Freak Out
SB,11.27,9.648,31.980972,Banana Split
SB,,12.631,31.980972,Banana Split
SB,14.05,13.776,31.980972,Banana Split
SB,16.26,14.617,31.980972,Banana Split
SB,14.65,11.691,31.980972,Banana Split
SB,,11.662,31.980972,Banana Split
SB,10.24,9.379,31.980972,Banana Split
SB,12.92,10.024,31.980972,Banana Split
SB,,13.447,32.371593,Mash-up
SB,19.78,19.547,32.371593,Mash-up
SB,11.81,16.865,32.371593,Mash-up
SB,21.97,12.383,32.371593,Mash-up
SB,15.49,15.323,32.371593,Mash-up
SB,,16.726,32.371593,Mash-up
