Individual,Marks,Source_pond,Survived?,Survived,Exp_pond,length_yoy_2012,length_yoy_2013,emergence_offspring_2012,activity_offspring_2012,aggression_offspring_2012,foraging_offspring_2012,dim1_global_offspring_2012,dim2_global_offspring_2012,dim3_global_offspring_2012,dim4_global_offspring_2012
123,b1 p5,12,No,0,4,57,NA,630,23,4,1571,0.389015209,1.151972456,1.546495523,-0.374451189
125,b1 p7,12,Yes,1,4,60,127,2642,16,5,1764,-1.907895228,-0.163834719,-0.462017562,0.032348723
126,b2 p3,12,Yes,1,4,58,130,0,8,2,1654,1.233840312,-0.209999204,0.342734236,0.849322951
128,b2 p6,12,Yes,1,4,60,125,0,4,3,1556,2.002132271,-0.560606903,0.777102944,-0.181488414
133,b5 p6,12,Yes,1,4,63,132,0,3,2,1623,1.723172177,-0.638516214,0.221802316,0.517160626
162,b3 y7,1,Yes,1,4,67,123,0,6,1,1667,1.40073115,-0.255105085,-0.039975044,1.027251885
166,y1 b2,1,Yes,1,4,59,121,1606,11,2,1591,0.652339213,0.296891528,-0.123460713,-0.768969422
167,y1 b3,1,Yes,1,4,64,119,902,7,1,1620,1.194819094,-0.010842461,-0.288037146,0.002803631
168,y1 b5,1,Yes,1,4,57,120,1643,1,0,1666,0.925463198,-0.520155841,-1.409007479,-0.01647579
170,y1 b7,1,Yes,1,4,59,114,2520,14,1,1731,-0.870915164,0.469316631,-1.278232114,0.060440488
172,y2 b5,1,No,0,4,62,NA,2546,18,5,1798,-2.208156868,-0.048817036,-0.450280787,0.432789022
173,y2 b6,1,Yes,1,4,56,130,0,1,2,1589,2.076153175,-0.756371814,0.262350029,0.179010904
174,y2 b7,1,Yes,1,4,65,115,1684,10,1,1652,0.37422471,0.236163358,-0.696542355,-0.177955029
176,y3 b6,1,Yes,1,4,59,117,0,14,1,1635,1.211849122,0.632826682,0.489437848,0.783191281
178,y5 b6,1,Yes,1,4,63,117,0,7,1,1681,1.246080686,-0.188739618,-0.047898834,1.167814969
181,o1 p2,1,No,0,4,65,NA,657,2,0,1623,1.727245146,-0.34162246,-0.645274731,0.222139672
191,o3 p6,1,Yes,1,4,58,117,0,5,1,1532,2.436263031,-0.021484638,0.466068111,-0.263286191
192,o3 p7,1,No,0,4,62,NA,2463,17,0,1677,-0.448612924,1.094006546,-1.105530039,-0.323867927
193,o5 p6,1,Yes,1,4,62,116,1314,16,8,1640,-0.744100485,-0.463488498,1.461038462,-0.492634194
195,o6 p7,1,No,0,4,59,NA,2475,22,0,1677,-0.718854345,1.599734192,-0.863516322,-0.294113615
199,p1 o6,1,No,0,4,64,NA,0,8,9,1767,-0.681293739,-1.815063549,1.485956665,1.437507454
200,p1 o7,1,Yes,1,4,66,125,1687,12,4,1616,0.060985882,-0.040166306,0.238762105,-0.71520914
202,p2 o5,1,Yes,1,4,67,130,1449,8,7,1706,-0.720805063,-1.242449835,0.488360471,0.056357909
203,p2 o6,1,Yes,1,4,58,117,0,15,7,1616,0.361016706,-0.354632547,1.996000465,0.193759894
204,p2 o7,1,Yes,1,4,58,117,1789,7,4,1681,-0.204577696,-0.703673384,-0.332924225,-0.201178352
206,p3 o6,1,No,0,4,62,NA,1431,3,6,1619,0.342162727,-1.343389326,0.377993863,-0.726950608
207,p3 o7,1,Yes,1,4,65,117,0,9,0,1488,2.701732735,0.681172647,0.616269237,-0.582032253
209,p5 o7,1,No,0,4,63,NA,1541,13,0,1526,1.367915552,1.036814988,-0.180600487,-1.190744108
210,p6 o7,1,Yes,1,4,55,117,2000,19,3,1633,-0.447703105,0.823734944,0.116505553,-0.6347846
217,o2 y5,1,Yes,1,4,69,131,1291,8,8,1695,-0.710028046,-1.409122299,0.849468216,-0.015059518
218,o2 y6,1,Yes,1,4,71,117,829,5,2,1703,0.580057012,-0.610198257,-0.459611433,0.754585836
219,o2 y7,1,Yes,1,4,72,113,0,10,0,1634,1.586120725,0.420280753,0.064942503,0.813049003
220,o3 y5,1,Yes,1,4,69,115,1456,17,1,1682,-0.088079267,0.862568702,-0.347898374,0.307659744
221,o3 y6,1,Yes,1,4,74,117,0,0,4,1513,2.370023587,-1.047571836,0.985053759,-0.689583874
222,o3 y7,1,No,0,4,68,NA,0,1,3,1700,1.112001486,-1.220838677,0.035170166,1.164552484
223,o5 y6,1,Yes,1,4,69,105,2173,18,6,1727,-1.642509752,-0.073091903,0.274923764,-0.069359
225,o6 y7,1,Yes,1,4,73,115,0,15,1,1597,1.435759267,0.828111716,0.695581885,0.429550237
228,y1 o5,1,Yes,1,4,64,112,1351,5,1,1618,1.068266885,-0.194760008,-0.623762389,-0.322558693
229,y1 o6,1,Yes,1,4,67,112,2555,16,1,1690,-0.697115884,0.77414857,-1.029090208,-0.336914313
230,y1 o7,11,Yes,1,4,64,110,1952,16,1,1662,-0.162132085,0.825741137,-0.585410974,-0.211761541
232,y2 o5,11,Yes,1,4,52,115,1976,12,3,1692,-0.494931854,-0.030770727,-0.461276964,-0.111037235
233,y2 o6,11,No,0,4,57,NA,2124,9,10,1621,-0.993628527,-1.478506766,1.209681415,-1.390130719
234,y2 o7,11,No,0,4,62,NA,1773,22,1,1677,-0.489414426,1.389708756,-0.251413389,0.091992074
235,y3 o5,11,No,0,4,62,NA,2187,9,1,1793,-0.875754113,-0.199612088,-1.600654289,0.828213677
236,y3 o6,11,No,0,4,66,NA,2545,19,6,1728,-1.906807578,0.036500381,0.117914538,-0.293722934
239,y5 o7,11,Yes,1,4,66,127,2116,11,2,1641,0.008267035,0.188006836,-0.607056506,-0.624691835
247,b1 y7,12,Yes,1,4,67,114,1493,6,4,1712,-0.214976403,-0.890354102,-0.349040933,0.277997826
248,y2 b3,11,No,0,4,58,NA,2005,9,1,1724,-0.273486188,-0.033925956,-1.217480074,0.290535366
249,p6 b7,11,No,0,4,54,NA,1658,8,3,1676,0.00710241,-0.404802091,-0.421056995,-0.086795015
250,b1 p2,11,Yes,1,4,62,103,446,16,0,1632,1.039373593,1.044871171,0.128529996,0.549698273
252,p3 o5,11,Yes,1,4,60,112,640,1,4,1652,0.953909268,-1.272189731,0.113980592,0.22369939
