Species,Call type,Latitude,Pond Name,State,Water Temperature (C),Avg. duration (s),Avg. pulse rate (pulses/s),Avg. call rate (calls/min),Avg. dominant frequency (Hz),Call effort (s calling/ min),Mass (g),Distance nearest calling male (m),Total males
SM,,38.155719,50 Cent,Colorado,18,1.083,17.297,26.499,1406.85,28.698,9.22,3.05,100
SM,,38.155719,50 Cent,Colorado,18,1.382,15.841,21.26,1321.229,29.374,,0.61,100
SM,,38.155719,50 Cent,Colorado,18,1.187,17.211,20.546,1360.9,24.385,,0.61,100
SB,Slow,39.469143,Jeff's Pond,Colorado,14.3,0.847,46.494,28.782,1267.386,24.368,22.26,,15
SB,Slow,39.469143,Jeff's Pond,Colorado,14.3,0.878,46.465,27.264,1476.586,23.942,19.37,,15
SB,Slow,39.446462,Windmill Central,Colorado,12.3,0.877,37.079,24.876,1539.633,21.816,15.83,6.1,45
SB,Slow,39.446462,Windmill Central,Colorado,12.3,0.884,40.837,23.503,1571.929,20.773,10.71,,45
SB,Slow,39.446462,Windmill Central,Colorado,12.3,1.064,37.02,22.229,1418.129,23.659,,0.3,45
SB,Slow,39.446462,Windmill Central,Colorado,12.3,0.95,36.405,22.269,1387.371,21.16,,0.3,45
SB,Slow,39.446462,Windmill Central,Colorado,12.3,0.87,41.379,20.654,1440.933,17.966,,,45
SB,Slow,39.446462,Windmill Central,Colorado,12.3,1.031,39.465,24.599,1408.886,25.364,10.38,1.83,45
SB,Slow,39.446462,Windmill Central,Colorado,12.3,0.895,43.572,21.486,1542.729,19.231,,2.13,45
SB,Slow,39.446462,Windmill Central,Colorado,12.3,0.847,40.244,24.857,1292,21.056,,,45
SB,Slow,39.446462,Windmill Central,Colorado,12.3,1.065,34.902,19.549,1292,20.816,12.09,,45
SB,Slow,39.446462,Windmill Central,Colorado,12.3,1.203,33.793,18.356,1419.671,22.077,13.37,,45
SB,Slow,39.447223,Dork Pond,Colorado,12.2,0.996,38.244,18.359,1382.729,18.294,14.77,,15
SB,Slow,39.447223,Dork Pond,Colorado,12.2,0.763,37.796,18.433,1419.04,14.061,,,15
SB,Slow,39.447223,Dork Pond,Colorado,12.2,0.828,35.424,25.793,1375.071,21.348,14.1,,15
SB,Slow,39.447223,Dork Pond,Colorado,12.2,1.048,38.387,25.762,1404.3,27.009,15.27,,15
